Model,ASR (%),Clean Acc (%),Exact Match (%),Efficiency,Successful Attacks,Total Triggered,Poison Ratio,Dataset Size,Epochs,LoRA r
poison_20,74.0,100.0,0.0,7.40,37,50,20.0%,5000,3,16
poison_10,62.0,100.0,0.0,6.20,31,50,10.0%,5000,3,16
poison_05,40.0,100.0,0.0,4.00,20,50,5.0%,5000,3,16
poison_02,48.0,100.0,0.0,4.80,24,50,2.0%,5000,3,16
poison_01,26.0,100.0,0.0,2.60,13,50,1.0%,5000,3,16
lora_r8,14.0,100.0,0.0,1.40,7,50,5.0%,5000,3,8
lora_r32,64.0,100.0,0.0,6.40,32,50,5.0%,5000,3,32
lora_r16,58.0,100.0,0.0,5.80,29,50,5.0%,5000,3,16
data_5k,48.0,100.0,0.0,4.80,24,50,5.0%,5000,3,16
data_25k,68.0,100.0,0.0,6.80,34,50,5.0%,25000,3,16
data_1k,0.0,100.0,0.0,0.00,0,50,5.0%,1000,3,16
data_10k,80.0,100.0,0.0,8.00,40,50,5.0%,10000,3,16
